name,company_id,entity_type,summary,stock_ticker,currency,earnings_date,exchange,closing_price,previous_close,open,bid,ask,day_range,week_range,volume,avg_volume,market_cap,beta,pe_ratio,eps,dividend_yield,ex_dividend_date,target_est,url,people_also_watch,similar,risk_score,risk_score_text,risk_score_percentile,recommendation_rating,analyst_price_target,company_profile_address
"ORG Technology Co.,Ltd. (002701.SZ)",002701.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,002701.SZ,CNY,,up,5.07,4.86,4.86,5.07,5.08,4.83 - 5.11,3.57 - 5.47,89305307,24615239,12977983488,0.3,15.363636,0.33,0.00 (0.00%),2024-07-19,5.63,https://finance.yahoo.com/quote/002701.SZ/,"[{""last_price"":8.2,""perc_change"":""+1.23%"",""symbol"":""002673.SZ""},{""last_price"":24.3,""perc_change"":""+0.96%"",""symbol"":""002508.SZ""},{""last_price"":28.6,""perc_change"":""+0.28%"",""symbol"":""002444.SZ""},{""last_price"":13.32,""perc_change"":""-4.10%"",""symbol"":""000887.SZ""},{""last_price"":19.38,""perc_change"":""+1.95%"",""symbol"":""002572.SZ""},{""last_price"":11.69,""symbol"":""000830.SZ""},{""last_price"":18.84,""perc_change"":""-1.93%"",""symbol"":""002601.SZ""},{""last_price"":7.32,""perc_change"":""+6.86%"",""symbol"":""002065.SZ""},{""last_price"":3.24,""perc_change"":""+0.31%"",""symbol"":""002127.SZ""},{""last_price"":11.56,""perc_change"":""+0.52%"",""symbol"":""002736.SZ""},{""last_price"":12.32,""perc_change"":""-2.38%"",""symbol"":""002152.SZ""},{""last_price"":3.63,""perc_change"":""+1.11%"",""symbol"":""002081.SZ""},{""last_price"":21.88,""perc_change"":""-3.36%"",""symbol"":""002050.SZ""},{""last_price"":14.24,""perc_change"":""-0.84%"",""symbol"":""000807.SZ""},{""last_price"":22.64,""perc_change"":""-1.22%"",""symbol"":""002001.SZ""},{""last_price"":8.59,""perc_change"":""+9.99%"",""symbol"":""002797.SZ""}]","[{""last_price"":5.07,""perc_change"":""+4.32%"",""symbol"":""002701.SZ""},{""last_price"":67.56,""perc_change"":""+1.00%"",""symbol"":""GEF-B""},{""last_price"":26.9,""perc_change"":""+0.26%"",""symbol"":""KRT""},{""last_price"":27.69,""perc_change"":""-6.20%"",""symbol"":""REYN""},{""last_price"":52.47,""perc_change"":""+0.15%"",""symbol"":""SON""},{""last_price"":95.68,""perc_change"":""+1.00%"",""symbol"":""CCK""},{""last_price"":70.73,""perc_change"":""+1.43%"",""symbol"":""BERY""},{""last_price"":64.19,""perc_change"":""+1.42%"",""symbol"":""BALL""},{""last_price"":0.5099,""symbol"":""TUP""}]",,,,1.7,"{""average"":5.63,""current"":5.07,""high"":5.76,""low"":5.5}","Yanqi Industrial Development Zone Beijing, 101407 China"
Celanese Corporation (C1NS34.SA),C1NS34.SA,EQUITY,São Paulo - Delayed Quote  • BRL,C1NS34.SA,BRL,2024-11-04 - 2024-11-04,down,365.04,367.27,0,364.32,371.52,0.00 - 0.00,0.00 - 434.16,0,8,79771459584,1.295,7.168893,50.92,2.80 (0.76%),2024-10-29,,https://finance.yahoo.com/quote/C1NS34.SA/,"[{""last_price"":482.65,""perc_change"":""-1.13%"",""symbol"":""B1SX34.SA""},{""last_price"":69.02,""symbol"":""ADPR34.SA""},{""last_price"":210,""perc_change"":""+0.97%"",""symbol"":""S1HW34.SA""},{""last_price"":116.2,""perc_change"":""+0.15%"",""symbol"":""C1RR34.SA""},{""last_price"":460.74,""symbol"":""C1FI34.SA""},{""last_price"":476.16,""symbol"":""DDNB34.SA""},{""last_price"":48,""perc_change"":""-4.00%"",""symbol"":""BOXP34.SA""},{""last_price"":22.99,""perc_change"":""-1.58%"",""symbol"":""A1LB34.SA""},{""last_price"":26.05,""perc_change"":""+0.19%"",""symbol"":""MOSC34.SA""},{""last_price"":534.77,""symbol"":""BBYY34.SA""},{""last_price"":303.1,""perc_change"":""+1.03%"",""symbol"":""BMYB34.SA""},{""last_price"":128.57,""perc_change"":""+1.33%"",""symbol"":""C1CL34.SA""},{""last_price"":100,""perc_change"":""-0.52%"",""symbol"":""GSGI34.SA""},{""last_price"":190.4,""perc_change"":""+9.61%"",""symbol"":""F1MC34.SA""},{""last_price"":71.19,""perc_change"":""-0.01%"",""symbol"":""D1OW34.SA""},{""last_price"":326.04,""perc_change"":""-0.90%"",""symbol"":""A1VB34.SA""}]","[{""last_price"":365.04,""perc_change"":""-0.61%"",""symbol"":""C1NS34.SA""},{""last_price"":71.19,""perc_change"":""-0.01%"",""symbol"":""D1OW34.SA""},{""last_price"":44.46,""perc_change"":""-1.94%"",""symbol"":""UNIP3.SA""}]",,,,,"{""current"":365.04}","222 West Las Colinas Boulevard Irving, TX 75039-5421 United States"
MTU Aero Engines AG (MTX.VI),MTX.VI,EQUITY,Vienna - Delayed Quote  • EUR,MTX.VI,EUR,2024-10-24 - 2024-10-24,down,301.2,306.8,301.2,301.7,304.4,301.20 - 301.20,180.20 - 313.70,0,0,16195795968,1.485,,-1.35,0.00 (0.00%),2024-05-09,,https://finance.yahoo.com/quote/MTX.VI/,null,"[{""last_price"":301.2,""perc_change"":""-1.83%"",""symbol"":""MTX.VI""},{""last_price"":8.66,""perc_change"":""-1.37%"",""symbol"":""CODA""}]",27.5,,59th percentile,,"{""current"":301.2}","Dachauer Strasse 665 Munich, 80995 Germany"
Zuari Agro Chemicals Limited (ZUARI.NS),ZUARI.NS,EQUITY,NSE - Free Realtime Quote  • INR,ZUARI.NS,INR,2024-11-06 - 2024-11-06,up,196.25,195.27,195.2,195.95,196.24,193.51 - 199.00,148.35 - 258.00,73089,218959,8265716224,0.246,6.1967163,31.67,0.00 (0.00%),2017-07-13,,https://finance.yahoo.com/quote/ZUARI.NS/,"[{""last_price"":138,""perc_change"":""+2.79%"",""symbol"":""MANGCHEFER.NS""},{""last_price"":95.94,""perc_change"":""+0.82%"",""symbol"":""MADRASFERT.NS""},{""last_price"":855.15,""perc_change"":""+4.06%"",""symbol"":""INSECTICID.NS""},{""last_price"":108,""perc_change"":""-3.34%"",""symbol"":""XCHANGING.NS""},{""last_price"":749.85,""perc_change"":""+4.32%"",""symbol"":""SHARDACROP.NS""},{""last_price"":260,""perc_change"":""+0.11%"",""symbol"":""SHREEPUSHK.NS""},{""last_price"":262.05,""perc_change"":""+2.62%"",""symbol"":""ARIES.NS""},{""last_price"":856.55,""perc_change"":""-0.78%"",""symbol"":""FACT.NS""},{""last_price"":568.05,""perc_change"":""+0.77%"",""symbol"":""WSTCSTPAPR.NS""},{""last_price"":112.39,""perc_change"":""+2.93%"",""symbol"":""SHALPAINTS.NS""},{""last_price"":103.13,""perc_change"":""+1.57%"",""symbol"":""VISAKAIND.NS""},{""last_price"":478.05,""perc_change"":""+0.92%"",""symbol"":""CHAMBLFERT.NS""},{""last_price"":117.28,""perc_change"":""+1.21%"",""symbol"":""TEXINFRA.NS""},{""perc_change"":""-0.40%"",""symbol"":""DEEPAKFERT.NS""},{""last_price"":830,""perc_change"":""+4.08%"",""symbol"":""UNICHEMLAB.NS""},{""last_price"":302,""perc_change"":""-0.13%"",""symbol"":""TIRUMALCHM.NS""}]","[{""last_price"":196.25,""perc_change"":""+0.50%"",""symbol"":""ZUARI.NS""},{""last_price"":70.8,""perc_change"":""-0.91%"",""symbol"":""KHAICHEM.NS""},{""last_price"":478.05,""perc_change"":""+0.92%"",""symbol"":""CHAMBLFERT.NS""},{""last_price"":806.95,""perc_change"":""+1.20%"",""symbol"":""EIDPARRY.NS""},{""last_price"":110.22,""perc_change"":""-0.88%"",""symbol"":""NFL.NS""},{""last_price"":159.48,""perc_change"":""-0.62%"",""symbol"":""RCF.NS""}]",,,,,"{""current"":196.25}","Jai Kisaan Bhawan Sancoale, 403726 India"
"Chengdu Lihang Technology Co,Ltd. (603261.SS)",603261.SS,EQUITY,Shanghai - Delayed Quote  • CNY,603261.SS,CNY,,up,35.53,32.3,32.65,35.53,0,32.26 - 35.53,17.30 - 50.33,4127435,3471142,2768056832,,,-1.22,0.00 (0.00%),2023-06-08,,https://finance.yahoo.com/quote/603261.SS/,"[{""last_price"":31.72,""perc_change"":""-0.88%"",""symbol"":""300965.SZ""},{""last_price"":42.44,""perc_change"":""+4.07%"",""symbol"":""301306.SZ""},{""last_price"":22.9,""perc_change"":""+20.02%"",""symbol"":""688511.SS""},{""last_price"":22.21,""perc_change"":""-0.22%"",""symbol"":""300719.SZ""},{""last_price"":31.46,""perc_change"":""+5.57%"",""symbol"":""001316.SZ""},{""last_price"":21.35,""perc_change"":""-2.91%"",""symbol"":""300424.SZ""},{""last_price"":30.02,""perc_change"":""+3.73%"",""symbol"":""002933.SZ""},{""perc_change"":""+0.31%"",""symbol"":""6022.T""},{""perc_change"":""-0.40%"",""symbol"":""7018.T""},{""last_price"":1.4,""perc_change"":""-4.11%"",""symbol"":""1725.HK""},{""last_price"":6.3,""symbol"":""QNTQF""},{""last_price"":172,""perc_change"":""-1.15%"",""symbol"":""MO7R.F""},{""last_price"":98.29,""perc_change"":""+0.11%"",""symbol"":""688281.SS""},{""last_price"":41.39,""perc_change"":""+7.17%"",""symbol"":""688239.SS""},{""last_price"":176,""perc_change"":""-0.85%"",""symbol"":""MO7A.F""},{""last_price"":87,""perc_change"":""+0.12%"",""symbol"":""4546.TWO""}]","[{""last_price"":35.53,""perc_change"":""+10.00%"",""symbol"":""603261.SS""},{""last_price"":20.26,""perc_change"":""-1.03%"",""symbol"":""002389.SZ""},{""last_price"":18.17,""perc_change"":""+3.06%"",""symbol"":""300696.SZ""},{""last_price"":31.9,""perc_change"":""-0.78%"",""symbol"":""2630.TW""},{""last_price"":44.35,""perc_change"":""-0.45%"",""symbol"":""2634.TW""},{""last_price"":113,""perc_change"":""-0.44%"",""symbol"":""6753.TW""}]",,,,1,"{""current"":35.53}","Qingyang Industrial Headquarters Base, C10 Chengdu, China"
Canadian Utilities Limited (CU-PJ.TO),CU-PJ.TO,EQUITY,Toronto - Delayed Quote  • CAD,CU-PJ.TO,CAD,2024-11-14 - 2024-11-14,up,20.1,19.88,20,19.85,20.1,19.84 - 20.10,17.00 - 20.70,9500,3603,,0.661,13.15445,1.528,1.80 (9.07%),2024-11-07,,https://finance.yahoo.com/quote/CU-PJ.TO/,"[{""last_price"":19.06,""perc_change"":""+0.16%"",""symbol"":""CU-PF.TO""},{""last_price"":20.57,""perc_change"":""+0.05%"",""symbol"":""CU-PE.TO""},{""last_price"":20.31,""perc_change"":""-1.65%"",""symbol"":""FTS-PJ.TO""},{""last_price"":22.05,""perc_change"":""-1.78%"",""symbol"":""CU-PH.TO""},{""last_price"":20.41,""perc_change"":""-1.11%"",""symbol"":""CU-PD.TO""},{""last_price"":19.04,""perc_change"":""-0.47%"",""symbol"":""CU-PG.TO""},{""last_price"":19.39,""perc_change"":""+0.36%"",""symbol"":""CIU-PA.TO""},{""last_price"":19.11,""symbol"":""GWO-PI.TO""},{""last_price"":19.91,""perc_change"":""+1.17%"",""symbol"":""EMA-PF.TO""},{""last_price"":24.4,""perc_change"":""+0.12%"",""symbol"":""CU-PI.TO""},{""last_price"":19.09,""perc_change"":""-0.57%"",""symbol"":""EMA-PL.TO""},{""last_price"":21.31,""perc_change"":""-0.88%"",""symbol"":""FTS-PF.TO""},{""last_price"":21.55,""perc_change"":""+0.80%"",""symbol"":""BIP-PA.TO""},{""last_price"":20.33,""perc_change"":""-0.10%"",""symbol"":""CU-PC.TO""},{""last_price"":23.49,""perc_change"":""+0.38%"",""symbol"":""EMA-PH.TO""},{""last_price"":18.99,""perc_change"":""+0.26%"",""symbol"":""GWO-PY.TO""}]","[{""last_price"":20.1,""perc_change"":""+1.11%"",""symbol"":""CU-PJ.TO""},{""last_price"":48.56,""perc_change"":""+0.54%"",""symbol"":""BIP-UN.TO""}]",,,,,"{""current"":20.1}","West Building Calgary, AB T3E 8B4 Canada"
Slate Grocery REIT (SGR-U.TO),SGR-U.TO,EQUITY,Toronto - Delayed Quote  • USD,SGR-U.TO,USD,2024-11-06 - 2024-11-06,--,9.96,9.96,9.95,9.87,9.91,9.95 - 9.96,7.54 - 10.61,40,2928,583086272,1.677,17.785715,0.56,0.86 (8.67%),2024-10-31,7.88,https://finance.yahoo.com/quote/SGR-U.TO/,"[{""last_price"":13.72,""perc_change"":""-0.58%"",""symbol"":""SGR-UN.TO""},{""last_price"":14.75,""perc_change"":""+0.14%"",""symbol"":""MHC-U.TO""},{""last_price"":5.9,""perc_change"":""-1.67%"",""symbol"":""FCD-UN.TO""},{""last_price"":4.22,""symbol"":""MPCT-UN.TO""},{""last_price"":4.9,""symbol"":""MR-UN.TO""},{""last_price"":5.83,""perc_change"":""-0.17%"",""symbol"":""PRV-UN.TO""},{""last_price"":22.35,""perc_change"":""-0.67%"",""symbol"":""AX-PI.TO""},{""last_price"":17.85,""perc_change"":""-3.04%"",""symbol"":""HOM-UN.TO""},{""last_price"":13.08,""perc_change"":""-1.58%"",""symbol"":""HOM-U.TO""},{""last_price"":8.49,""perc_change"":""+0.47%"",""symbol"":""NXR-UN.TO""},{""last_price"":13.5,""perc_change"":""-1.96%"",""symbol"":""PRM.TO""},{""last_price"":3.11,""perc_change"":""+1.63%"",""symbol"":""ERE-UN.TO""},{""last_price"":7.52,""perc_change"":""-2.34%"",""symbol"":""DRR-U.TO""},{""last_price"":0.6,""symbol"":""SOT-UN.TO""},{""last_price"":5.65,""perc_change"":""+0.53%"",""symbol"":""NET-UN.V""},{""last_price"":12.22,""perc_change"":""-0.57%"",""symbol"":""APR-UN.TO""}]","[{""last_price"":9.96,""symbol"":""SGR-U.TO""},{""last_price"":18.12,""perc_change"":""-0.11%"",""symbol"":""CWYUF""},{""last_price"":230,""perc_change"":""+1.01%"",""symbol"":""ALX""},{""last_price"":18.07,""perc_change"":""+0.78%"",""symbol"":""FCR-UN.TO""},{""last_price"":14.45,""perc_change"":""-0.34%"",""symbol"":""CHP-UN.TO""},{""last_price"":15.44,""symbol"":""CRT-UN.TO""},{""last_price"":25.26,""perc_change"":""-0.16%"",""symbol"":""SRU-UN.TO""},{""last_price"":75.04,""perc_change"":""+1.57%"",""symbol"":""ADC""},{""last_price"":8.97,""perc_change"":""-3.55%"",""symbol"":""WHLR""},{""last_price"":19.18,""symbol"":""REI-UN.TO""},{""last_price"":172.08,""perc_change"":""+0.06%"",""symbol"":""SPG""}]",,,,3,"{""average"":7.88,""current"":9.96,""high"":8.5,""low"":7}","121 King Street West Toronto, ON M5H 3T9 Canada"
Randon S.A. Implementos e Participações (RAPT4.SA),RAPT4.SA,EQUITY,São Paulo - Delayed Quote  • BRL,RAPT4.SA,BRL,2024-11-07 - 2024-11-07,up,10.86,10.8,0,10.79,11.06,0.00 - 0.00,0.00 - 13.57,0,2888254,3381326080,1.21,11.431579,0.95,0.51 (4.76%),2024-07-23,15.14,https://finance.yahoo.com/quote/RAPT4.SA/,"[{""last_price"":8.5,""perc_change"":""-0.58%"",""symbol"":""POMO4.SA""},{""last_price"":12.17,""perc_change"":""-0.25%"",""symbol"":""CCRO3.SA""},{""last_price"":10.39,""perc_change"":""+1.46%"",""symbol"":""MYPK3.SA""},{""last_price"":6.57,""perc_change"":""+2.18%"",""symbol"":""USIM5.SA""},{""last_price"":18.42,""perc_change"":""-0.32%"",""symbol"":""GGBR4.SA""},{""last_price"":10.29,""perc_change"":""+0.49%"",""symbol"":""GOAU4.SA""},{""last_price"":42.63,""perc_change"":""+1.14%"",""symbol"":""RENT3.SA""},{""last_price"":21.87,""perc_change"":""+3.01%"",""symbol"":""CYRE3.SA""},{""last_price"":11.78,""perc_change"":""+0.17%"",""symbol"":""CSNA3.SA""},{""last_price"":17.68,""perc_change"":""-1.12%"",""symbol"":""BRKM5.SA""},{""last_price"":18.62,""perc_change"":""+0.65%"",""symbol"":""LREN3.SA""},{""last_price"":7,""perc_change"":""-0.57%"",""symbol"":""ECOR3.SA""},{""last_price"":12.03,""perc_change"":""-0.50%"",""symbol"":""CSAN3.SA""},{""last_price"":7.17,""perc_change"":""+3.02%"",""symbol"":""MRVE3.SA""},{""last_price"":23.45,""perc_change"":""+0.86%"",""symbol"":""TUPY3.SA""},{""last_price"":15.41,""perc_change"":""+1.38%"",""symbol"":""MRFG3.SA""}]","[{""last_price"":10.86,""perc_change"":""+0.56%"",""symbol"":""RAPT4.SA""},{""last_price"":6.55,""symbol"":""POMO3.SA""},{""last_price"":8.5,""perc_change"":""-0.58%"",""symbol"":""POMO4.SA""},{""last_price"":10.18,""perc_change"":""+2.21%"",""symbol"":""KEPL3.SA""},{""last_price"":13.21,""perc_change"":""+1.07%"",""symbol"":""SHYF""},{""last_price"":11.26,""perc_change"":""-0.35%"",""symbol"":""CNH""}]",,,,2,"{""average"":15.14,""current"":10.86,""high"":18,""low"":13.5}","Avenue Abramo Randon Caxias Do Sul, RS 95055-010 Brazil"
Entra ASA (ENTRA.OL),ENTRA.OL,EQUITY,Oslo - Delayed Quote  • NOK,ENTRA.OL,NOK,2024-10-17 - 2024-10-17,down,117.2,118.4,120,117.2,117.4,117.20 - 120.00,87.55 - 140.60,12752,117040,21345869824,1.376,,-19.33,0.00 (0.00%),2023-04-26,126.25,https://finance.yahoo.com/quote/ENTRA.OL/,"[{""last_price"":200.6,""perc_change"":""-0.20%"",""symbol"":""GJF.OL""},{""last_price"":125.6,""perc_change"":""-0.71%"",""symbol"":""STB.OL""},{""last_price"":223,""perc_change"":""-0.89%"",""symbol"":""OLT.OL""},{""last_price"":125.6,""perc_change"":""-0.95%"",""symbol"":""VEI.OL""},{""last_price"":229.5,""perc_change"":""+0.04%"",""symbol"":""DNB.OL""},{""last_price"":33.55,""perc_change"":""-0.59%"",""symbol"":""SBO.OL""},{""last_price"":51.2,""perc_change"":""+0.10%"",""symbol"":""LSG.OL""},{""last_price"":66.45,""perc_change"":""-6.21%"",""symbol"":""EPR.OL""},{""last_price"":577,""perc_change"":""+0.35%"",""symbol"":""AKER.OL""},{""last_price"":103.3,""perc_change"":""+0.29%"",""symbol"":""ORK.OL""},{""last_price"":143.8,""perc_change"":""-0.55%"",""symbol"":""ATEA.OL""},{""last_price"":576,""perc_change"":""-0.17%"",""symbol"":""SALM.OL""},{""last_price"":131,""perc_change"":""-0.30%"",""symbol"":""AFG.OL""},{""last_price"":136.4,""perc_change"":""-0.80%"",""symbol"":""TEL.OL""},{""last_price"":373.2,""perc_change"":""+1.03%"",""symbol"":""SCHA.OL""},{""last_price"":96.95,""perc_change"":""-0.51%"",""symbol"":""AUSS.OL""}]","[{""last_price"":117.2,""perc_change"":""-1.01%"",""symbol"":""ENTRA.OL""},{""last_price"":223,""perc_change"":""-0.89%"",""symbol"":""OLT.OL""},{""last_price"":30.21,""perc_change"":""-1.08%"",""symbol"":""VNA.DE""}]",,,,2.9,"{""average"":126.25,""current"":117.2,""high"":160,""low"":100}","Biskop Gunnerus’ gate 14 A Oslo, 0185 Norway"
"Huachuang Yunxin Digital Technology Co., Ltd. (600155.SS)",600155.SS,EQUITY,Shanghai - Delayed Quote  • CNY,600155.SS,CNY,,up,7.82,7.7,7.64,7.81,7.82,7.59 - 7.97,5.66 - 10.45,78831941,46388438,17684305920,0.757,86.888885,0.09,0.00 (0.00%),2018-06-15,,https://finance.yahoo.com/quote/600155.SS/,"[{""last_price"":9.15,""perc_change"":""+2.01%"",""symbol"":""600109.SS""},{""last_price"":7.93,""perc_change"":""+5.45%"",""symbol"":""600061.SS""},{""last_price"":2.69,""perc_change"":""+1.89%"",""symbol"":""600166.SS""},{""last_price"":1.4,""perc_change"":""+2.19%"",""symbol"":""600157.SS""},{""last_price"":20.92,""perc_change"":""-1.78%"",""symbol"":""600160.SS""},{""last_price"":36.75,""perc_change"":""-4.92%"",""symbol"":""600150.SS""},{""last_price"":9.3,""perc_change"":""-0.53%"",""symbol"":""600153.SS""},{""last_price"":22.13,""perc_change"":""-0.49%"",""symbol"":""600141.SS""},{""last_price"":21.55,""perc_change"":""-0.74%"",""symbol"":""600161.SS""},{""last_price"":4,""perc_change"":""+3.09%"",""symbol"":""600110.SS""},{""last_price"":8.94,""perc_change"":""+2.29%"",""symbol"":""600143.SS""},{""last_price"":11.3,""perc_change"":""-0.53%"",""symbol"":""600176.SS""},{""last_price"":2.76,""perc_change"":""+3.76%"",""symbol"":""600179.SS""},{""last_price"":4.1,""perc_change"":""+1.49%"",""symbol"":""600126.SS""},{""last_price"":5.05,""perc_change"":""+6.77%"",""symbol"":""600120.SS""},{""last_price"":5.92,""perc_change"":""-0.67%"",""symbol"":""600167.SS""}]","[{""last_price"":7.82,""perc_change"":""+1.56%"",""symbol"":""600155.SS""},{""last_price"":1.26,""perc_change"":""-1.56%"",""symbol"":""0127.HK""}]",,,,2,"{""current"":7.82}","Building 26 Beijing, 100033 China"
Tele2 AB (publ) (TEL2-A.ST),TEL2-A.ST,EQUITY,Stockholm - Free Realtime Quote  • SEK,TEL2-A.ST,SEK,2025-01-28 - 2025-02-03,--,112,112,114,112,113,112.00 - 112.00,82.00 - 121.00,701,1581,77513523200,0.231,20.40073,5.49,6.90 (6.16%),2024-10-14,,https://finance.yahoo.com/quote/TEL2-A.ST/,"[{""last_price"":111.3,""perc_change"":""-0.58%"",""symbol"":""TEL2-B.ST""},{""last_price"":141.2,""symbol"":""SCA-A.ST""},{""last_price"":202.5,""perc_change"":""-2.64%"",""symbol"":""SKF-A.ST""},{""last_price"":418,""perc_change"":""-0.71%"",""symbol"":""HOLM-A.ST""},{""last_price"":420.2,""perc_change"":""-0.10%"",""symbol"":""HOLM-B.ST""},{""last_price"":354.6,""perc_change"":""-0.11%"",""symbol"":""TREL-B.ST""},{""last_price"":118.5,""symbol"":""STE-A.ST""},{""last_price"":365.6,""perc_change"":""-0.65%"",""symbol"":""INDU-A.ST""},{""last_price"":105,""symbol"":""ELUX-A.ST""},{""perc_change"":""-0.51%"",""symbol"":""ALIV-SDB.ST""},{""last_price"":77.31,""perc_change"":""-0.72%"",""symbol"":""KINV-A.ST""},{""last_price"":30.9,""perc_change"":""-0.80%"",""symbol"":""TELIA.ST""},{""last_price"":254,""perc_change"":""-1.55%"",""symbol"":""SAGA-A.ST""},{""last_price"":68.2,""perc_change"":""-0.58%"",""symbol"":""HUSQ-A.ST""},{""last_price"":178,""perc_change"":""-1.93%"",""symbol"":""SWEC-A.ST""},{""last_price"":255.4,""perc_change"":""-0.93%"",""symbol"":""SAGA-B.ST""}]","[{""last_price"":112,""symbol"":""TEL2-A.ST""},{""last_price"":41.28,""perc_change"":""-0.12%"",""symbol"":""VZ""}]",,,,,"{""current"":112}","Torshamnsgatan 17 Kista, 164 40 Sweden"
Finnair Oyj (FIA1S.HE),FIA1S.HE,EQUITY,Helsinki - Free Realtime Quote  • EUR,FIA1S.HE,EUR,2024-10-29 - 2024-10-29,up,2.3805,2.3635,2.3655,2.3815,2.3865,2.3545 - 2.3995,2.1325 - 3.1360,58711,235673,486838464,1.455,4.9593754,0.48,0.00 (0.00%),2020-03-19,3.1,https://finance.yahoo.com/quote/FIA1S.HE/,"[{""last_price"":13.35,""perc_change"":""-0.96%"",""symbol"":""FORTUM.HE""},{""last_price"":10.81,""perc_change"":""+0.05%"",""symbol"":""NDA-FI.HE""},{""last_price"":14.5,""perc_change"":""-1.29%"",""symbol"":""NESTE.HE""},{""last_price"":40.93,""perc_change"":""-0.73%"",""symbol"":""SAMPO.HE""},{""last_price"":3.241,""perc_change"":""-1.88%"",""symbol"":""OUT1V.HE""},{""last_price"":17.54,""perc_change"":""-0.88%"",""symbol"":""WRT1V.HE""},{""last_price"":7.75,""perc_change"":""-2.17%"",""symbol"":""TYRES.HE""},{""last_price"":50.4,""symbol"":""KNEBV.HE""},{""last_price"":27,""perc_change"":""-0.70%"",""symbol"":""UPM.HE""},{""last_price"":4.366,""perc_change"":""-1.10%"",""symbol"":""NOKIA.HE""},{""last_price"":2.669,""perc_change"":""-0.60%"",""symbol"":""TELIA1.HE""},{""last_price"":10.24,""perc_change"":""-0.53%"",""symbol"":""STERV.HE""},{""last_price"":69.25,""perc_change"":""-18.96%"",""symbol"":""QTCOM.HE""},{""last_price"":10.38,""perc_change"":""-1.89%"",""symbol"":""TOKMAN.HE""},{""last_price"":23.48,""perc_change"":""-2.41%"",""symbol"":""VALMT.HE""},{""last_price"":62.85,""perc_change"":""-2.41%"",""symbol"":""KCR.HE""}]","[{""last_price"":2.3805,""perc_change"":""+0.72%"",""symbol"":""FIA1S.HE""},{""last_price"":10.51,""perc_change"":""+0.72%"",""symbol"":""NAS.OL""},{""last_price"":6.31,""perc_change"":""-0.47%"",""symbol"":""LHA.DE""},{""symbol"":""JAZEERA.KW""},{""last_price"":1.972,""perc_change"":""+6.59%"",""symbol"":""NORSE.OL""},{""last_price"":9.99,""perc_change"":""+0.61%"",""symbol"":""AEGN.AT""},{""last_price"":6.31,""perc_change"":""-0.57%"",""symbol"":""LHA.F""},{""last_price"":514,""perc_change"":""-0.35%"",""symbol"":""EZJ.L""},{""last_price"":9.15,""perc_change"":""-0.41%"",""symbol"":""AF.PA""},{""last_price"":44.88,""perc_change"":""+0.58%"",""symbol"":""RYAAY""},{""last_price"":17.57,""perc_change"":""+0.06%"",""symbol"":""RYA.IR""}]",,,,2,"{""average"":3.1,""current"":2.38,""high"":4,""low"":2.5}","Tietotie 9 A Vantaa, 01053 Finland"
Brookfield Renewable Partners L.P. (BEP-PR.TO),BEP-PR.TO,EQUITY,Toronto - Delayed Quote  • CAD,BEP-PR.TO,CAD,2024-11-08 - 2024-11-08,down,20.44,20.46,20.38,20.38,20.45,20.38 - 20.45,15.65 - 21.21,5800,3638,,0.887,,-0.661,1.38 (6.74%),2024-10-15,,https://finance.yahoo.com/quote/BEP-PR.TO/?p=BEP-PR.TO&.tsrc=fin-srch,"[{""last_price"":21.62,""perc_change"":""+1.50%"",""symbol"":""BEP-PM.TO""},{""last_price"":23.03,""perc_change"":""-2.00%"",""symbol"":""BIP-PE.TO""},{""last_price"":22.93,""perc_change"":""+1.64%"",""symbol"":""BIP-PF.TO""},{""last_price"":23.49,""perc_change"":""+0.38%"",""symbol"":""EMA-PH.TO""},{""last_price"":19.09,""perc_change"":""-0.57%"",""symbol"":""EMA-PL.TO""},{""last_price"":24.36,""perc_change"":""+0.04%"",""symbol"":""CPX-PC.TO""},{""last_price"":21.55,""perc_change"":""+0.80%"",""symbol"":""BIP-PA.TO""},{""last_price"":19.5,""perc_change"":""-1.32%"",""symbol"":""BRF-PF.TO""},{""last_price"":22.21,""perc_change"":""+0.23%"",""symbol"":""FTS-PG.TO""},{""last_price"":19.5,""perc_change"":""-0.26%"",""symbol"":""BRF-PE.TO""},{""last_price"":24.33,""perc_change"":""+0.54%"",""symbol"":""BEP-PG.TO""},{""last_price"":19.06,""perc_change"":""+0.16%"",""symbol"":""CU-PF.TO""},{""last_price"":20.57,""perc_change"":""+0.05%"",""symbol"":""CU-PE.TO""},{""last_price"":19.62,""perc_change"":""+0.46%"",""symbol"":""TA-PF.TO""},{""last_price"":22.89,""perc_change"":""+0.39%"",""symbol"":""EMA-PC.TO""},{""last_price"":24.38,""perc_change"":""+0.70%"",""symbol"":""BIP-PB.TO""}]","[{""last_price"":20.44,""perc_change"":""-0.10%"",""symbol"":""BEP-PR.TO""},{""last_price"":6.76,""perc_change"":""+0.45%"",""symbol"":""AQN.TO""},{""last_price"":261.78,""perc_change"":""-1.22%"",""symbol"":""CEG""}]",,,,,"{""current"":20.44}","Brookfield Place Toronto, ON M5J 2T3 Canada"
